epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,230.564,0.03051,4.90961,3.87281,0.00713,0.15456,0.00792,0.00217,0.02728,3.7781,3.36628,0.00012826,0.00012826,0.00012826
2,486.516,0.02494,4.31178,3.0557,0.82263,0.04231,0.04513,0.01346,0.02268,3.51758,2.86002,0.00024633,0.00024633,0.00024633
3,736.594,0.02111,3.81597,2.6595,0.65126,0.10306,0.07835,0.03368,0.02005,3.23122,2.56243,0.000354133,0.000354133,0.000354133
4,1033,0.01949,3.4985,2.4777,0.43333,0.16002,0.11315,0.04854,0.01871,3.0277,2.41372,0.0003388,0.0003388,0.0003388
5,1279.63,0.01854,3.31473,2.37005,0.36492,0.18528,0.1356,0.06698,0.01825,2.92323,2.35664,0.0003234,0.0003234,0.0003234
6,1548.54,0.01779,3.16196,2.29963,0.3729,0.22193,0.15925,0.08121,0.01727,2.76341,2.24131,0.000308,0.000308,0.000308
7,1785.43,0.01732,3.05392,2.24771,0.32039,0.26566,0.18008,0.09914,0.01669,2.64591,2.1742,0.0002926,0.0002926,0.0002926
8,2037.88,0.01699,2.9769,2.2057,0.36433,0.28694,0.20325,0.10889,0.01626,2.54237,2.12981,0.0002772,0.0002772,0.0002772
9,2331.72,0.0166,2.90278,2.16961,0.37428,0.29726,0.22037,0.12088,0.01598,2.49371,2.10212,0.0002618,0.0002618,0.0002618
10,2555.24,0.01632,2.835,2.13697,0.32592,0.31783,0.2341,0.12996,0.01574,2.45618,2.06858,0.0002464,0.0002464,0.0002464
11,2776.1,0.01552,2.6068,2.07657,0.3513,0.3397,0.25059,0.14157,0.01522,2.36063,2.02125,0.000231,0.000231,0.000231
12,3036.99,0.01522,2.50098,2.043,0.32166,0.3536,0.26713,0.1513,0.01506,2.31148,1.99535,0.0002156,0.0002156,0.0002156
13,3357.75,0.01502,2.44477,2.015,0.35115,0.36497,0.2828,0.16383,0.01498,2.26818,1.97551,0.0002002,0.0002002,0.0002002
14,3689.2,0.01483,2.38697,1.99235,0.37983,0.3669,0.29993,0.17787,0.0148,2.21971,1.95471,0.0001848,0.0001848,0.0001848
15,3915.57,0.01467,2.33781,1.9774,0.38505,0.38173,0.32309,0.19374,0.01463,2.19519,1.93624,0.0001694,0.0001694,0.0001694
16,4143,0.01447,2.29602,1.95535,0.40333,0.38525,0.33619,0.20551,0.01451,2.1519,1.92067,0.000154,0.000154,0.000154
17,4374.84,0.01439,2.25046,1.94724,0.40478,0.38759,0.34982,0.21397,0.0144,2.13884,1.91233,0.0001386,0.0001386,0.0001386
18,4625.07,0.01419,2.21268,1.92728,0.45918,0.39793,0.36385,0.22438,0.01428,2.09258,1.89969,0.0001232,0.0001232,0.0001232
19,4854.74,0.0141,2.17856,1.9163,0.4347,0.40872,0.36831,0.22984,0.01414,2.07293,1.88802,0.0001078,0.0001078,0.0001078
20,5081.49,0.01393,2.1406,1.89891,0.44938,0.40802,0.3743,0.23398,0.0141,2.05326,1.87905,9.24e-05,9.24e-05,9.24e-05
